Class,Identifiers,Address,Type,Initial Value,Comment
VAR,shelf_no,D20000,WORD,10,total number of shelf
VAR,snsr_no,D20001,WORD,152
VAR,snsr_data_reg_size,D20002,WORD,6
VAR,k_shelf_reg_size,D20003,WORD,12,how many register one shelf_data occupies
VAR,k_shelf_modeIndexOffset,D20004,WORD,0,offset from shelf_x_addr to get shelf_x_mode
VAR,k_shelf_autoWaterOnIndexOffset,D20005,WORD,1,offset from shelf_x_addr to get shelf_x_autoWaterOn
VAR,k_shelf_autoLightOnIndexOffset,D20006,WORD,2,offset from shelf_x_addr to get shelf_x_autoLightOn
VAR,k_shelf_autoLightIntensOffset,D20007,WORD,3,offset from shelf_x_addr to get shelf_x_autoLightIntens
VAR,k_shelf_semiPVOnIndexOffset,D20008,WORD,4,offset from shelf_x_addr to get shelf_x_semiPVOn
VAR,k_shelf_semiLightOnIndexOffset,D20009,WORD,5,offset from shelf_x_addr to get shelf_x_semiLightOn
VAR,k_shelf_manuLightOnIndexOffset,D20010,WORD,6,offset from shelf_x_addr to get shelf_x_manuLightOn
VAR,k_shelf_manuLightIntensIndexOffset,D20011,WORD,7,offset from shelf_x_addr to get shelf_x_manuLightIntens
VAR,k_shelf_manuPvPosIndexOffset,D20012,WORD,8,offset from shelf_x_addr to get shelf_x_manuPVPos
VAR,k_shelf_baseAddr,D20013,WORD,10000,baseAddr of all shelves
VAR,PVLookup_1_Arr,D20014,ARRAY [4] OF WORD,[4(0)],PV look-up values when only 1 valves are on
VAR,PVLookup_2_Arr,D20018,ARRAY [4] OF WORD,[4(0)],PV look-up values when only 2 valves are on
VAR,PVLookup_3_Arr,D20022,ARRAY [4] OF WORD,[4(0)],PV look-up values when only 3 valves are on
VAR,PVLookup_4_Arr,D20026,ARRAY [4] OF WORD,[4(0)],PV look-up values when only 4 valves are on
VAR,ShelfSectionMapping_0_Arr,D20030,ARRAY [4] OF WORD,[4(0)],configure which shelves should belong to sec0
VAR,ShelfSectionMapping_1_Arr,D20034,ARRAY [4] OF WORD,[4(0)],configure which shelves should belong to sec1
VAR,ShelfSectionMapping_2_Arr,D20038,ARRAY [4] OF WORD,[4(0)],configure which shelves should belong to sec2
VAR,secModeArr,D20042,ARRAY [3] OF WORD,[3(0)],secMode[0] : section 0 mode etc.
VAR,sectionPvOnCountArr,D20045,ARRAY [3] OF WORD,[3(0)],secPvCountArr[0]: number of PV to turn on in section 0
VAR,k_sectionNo,D20048,WORD,3,total number of sections
VAR,k_sectionMaxShelfNo,D20049,WORD,4,maximum number of shelves per section
VAR,flowratePerShelf,D20050,WORD,32,flowrate per shelf in lpm
VAR,k_enablePumpRedundancy,D20051.0,BOOL,0,whether to enable pump redundancy
VAR,pump_e_OnArr,D11000.0,ARRAY [3] OF BOOL,[3(FALSE)]
VAR,pump_e_ValveOnArr,D11001.0,ARRAY [4] OF BOOL,[4(FALSE)]
VAR,pump_e_FlowOrRpm,D11002,WORD,0,"1 - Flow, 2 - RPM"
VAR,pump_e_SetpointArr,D11003,ARRAY [3] OF WORD,[3(0)]
VAR,pump_h_Mode,D11006,WORD,0
VAR,pump_h_PumpSelect,D11007.0,ARRAY [3] OF BOOL,[3(FALSE)]
VAR,pump_h_FlowSetArr,D11008,ARRAY [3] OF WORD,[3(0)]
VAR,pump_h_RpmSetArr,D11011,ARRAY [3] OF WORD,[3(0)]
VAR,pump_ctrlModeFbkArr,D11014,ARRAY [3] OF WORD,[3(0)]
VAR,pump_runningFbkArr,D11017.0,ARRAY [3] OF BOOL,[3(FALSE)]
VAR,pump_flowrateFbkArr,D11018,ARRAY [3] OF WORD,[3(0)]
VAR,pump_rpmFbkArr,D11021,ARRAY [3] OF WORD,[3(0)]
VAR,s0_mode,D10000,WORD,2,"shelf_x mode auto-1, semi-2, manual-3"
VAR,s0_autoWaterOn,D10001.0,BOOL,FALSE
VAR,s0_autoLightOn,D10002.0,BOOL,FALSE
VAR,s0_autoLightIntensity,D10003,WORD,0
VAR,s0_semiPVOn,D10004.0,BOOL,0
VAR,s0_semiLightOn,D10005.0,BOOL,0
VAR,s0_manuLightOn,D10006.0,BOOL,0
VAR,s0_manuLightIntensity,D10007,WORD,0
VAR,s0_manuPVPos,D10008,WORD,0
